Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,00:00,80,0,80,80,0,80,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,01:00,83,0,83,83,0,83,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,02:00,24,0,24,24,0,24,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,03:00,20,0,20,20,0,20,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,04:00,15,0,15,15,0,15,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,05:00,21,0,21,21,0,21,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,06:00,11,0,11,11,0,11,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,07:00,51,0,51,51,0,51,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,08:00,130,0,130,130,0,130,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,09:00,273,0,273,273,0,273,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,10:00,805,0,805,805,0,805,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,11:00,1777,0,1777,1777,0,1777,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,12:00,2161,0,2161,2161,0,2161,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,13:00,2817,0,2817,2817,0,2817,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,14:00,3067,0,3067,3067,0,3067,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,15:00,2911,0,2911,2911,0,2911,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,16:00,1224,0,1224,1224,0,1224,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,17:00,456,0,456,456,0,456,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,18:00,144,0,144,144,0,144,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,19:00,112,0,112,112,0,112,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,20:00,108,0,108,108,0,108,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,21:00,86,0,86,86,0,86,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,22:00,49,0,49,49,0,49,No Group
Leeds Originals,Albion Street South,2019,December,48,Sunday,01-Dec-19,23:00,23,0,23,23,0,23,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,00:00,7,0,7,7,0,7,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,01:00,10,0,10,10,0,10,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,02:00,0,0,0,0,0,0,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,03:00,21,0,21,21,0,21,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,04:00,41,0,41,41,0,41,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,05:00,50,0,50,50,0,50,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,06:00,100,0,100,100,0,100,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,07:00,240,0,240,240,0,240,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,08:00,704,0,704,704,0,704,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,09:00,701,0,701,701,0,701,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,10:00,778,0,778,778,0,778,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,11:00,1706,0,1706,1706,0,1706,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,12:00,3156,0,3156,3156,0,3156,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,13:00,3334,0,3334,3334,0,3334,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,14:00,2785,0,2785,2785,0,2785,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,15:00,2433,0,2433,2433,0,2433,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,16:00,1068,0,1068,1068,0,1068,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,17:00,907,0,907,907,0,907,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,18:00,590,0,590,590,0,590,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,19:00,370,0,370,370,0,370,No Group
Leeds Originals,Albion Street South,2019,December,49,Monday,02-Dec-19,20:00,154,0,154,154,0,154,No Group
